src,out,src_sha1,orig_w,orig_h,content_w,content_h,scale,canvas,content_max,grayscale,binarize,bg,kind
图包/国际奖项/WOLDA\2020\WOLDA_2020_17_de89929d_12th-WOLDA-Cat-222.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_17_de89929d_12th-WOLDA-Cat-222.png,f804de6fdc70,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_18_1bc91ba0_12th-WOLDA-Cat-223.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_18_1bc91ba0_12th-WOLDA-Cat-223.png,89c3dc45c82a,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_01_e9f3579c_preloader.png,标准化输出/logo/WOLDA\2021\WOLDA_2021_01_e9f3579c_preloader.png,4b87f7b44723,239,239,230,230,1.9478,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_02_6d61e686_12th-WOLDA-Cat-71-1.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_02_6d61e686_12th-WOLDA-Cat-71-1.png,b64d3a656a3d,1240,874,1105,786,0.4054,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_03_7c3cf840_12th-WOLDA-Cat-BoS1-1.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_03_7c3cf840_12th-WOLDA-Cat-BoS1-1.png,a59e3d72e986,1240,874,1105,786,0.4054,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_04_566e7c1e_13-WOLDA-Cat-21.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_04_566e7c1e_13-WOLDA-Cat-21.png,de0a85fb355b,1240,874,1239,872,0.3616,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_05_b43b3aa3_13-WOLDA-Cat-210.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_05_b43b3aa3_13-WOLDA-Cat-210.png,475656295c59,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_06_7b2164fa_13-WOLDA-Cat-211.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_06_7b2164fa_13-WOLDA-Cat-211.png,5108d34a114d,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_07_1d152cc3_13-WOLDA-Cat-212.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_07_1d152cc3_13-WOLDA-Cat-212.png,f8187d95a3f2,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_08_52c0059b_13-WOLDA-Cat-213.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_08_52c0059b_13-WOLDA-Cat-213.png,f7564e109248,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_09_b6068652_13-WOLDA-Cat-214.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_09_b6068652_13-WOLDA-Cat-214.png,abef41c05f68,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_10_6ee1c757_13-WOLDA-Cat-215.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_10_6ee1c757_13-WOLDA-Cat-215.png,4be6287f3636,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_11_8cf6a3d4_13-WOLDA-Cat-216.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_11_8cf6a3d4_13-WOLDA-Cat-216.png,0f0c23386852,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_12_b002b8d9_13-WOLDA-Cat-217.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_12_b002b8d9_13-WOLDA-Cat-217.png,7c04259ab1bd,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_13_4c6700eb_13-WOLDA-Cat-218.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_13_4c6700eb_13-WOLDA-Cat-218.png,88022cda975c,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_14_255d928c_13-WOLDA-Cat-219.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_14_255d928c_13-WOLDA-Cat-219.png,fe1eb62d243f,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_15_13dd18d0_13-WOLDA-Cat-22.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_15_13dd18d0_13-WOLDA-Cat-22.png,883c2a18ada8,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_16_c7efb619_13-WOLDA-Cat-220.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_16_c7efb619_13-WOLDA-Cat-220.png,1ad412d5e90e,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_17_f1a080be_13-WOLDA-Cat-221.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_17_f1a080be_13-WOLDA-Cat-221.png,5df5ec914812,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2021\WOLDA_2021_18_397c7398_13-WOLDA-Cat-222.jpg,标准化输出/logo/WOLDA\2021\WOLDA_2021_18_397c7398_13-WOLDA-Cat-222.png,89cb189efdf1,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2022\WOLDA_2022_01_5cfa08d7_0012thWOLDA1.jpg,标准化输出/logo/WOLDA\2022\WOLDA_2022_01_5cfa08d7_0012thWOLDA1.png,798ec1b6b042,1240,874,1105,786,0.4054,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2022\WOLDA_2022_02_86f708c6_13-WOLDA-Call-for-Entries.jpg,标准化输出/logo/WOLDA\2022\WOLDA_2022_02_86f708c6_13-WOLDA-Call-for-Entries.png,95d09453853c,1240,874,1105,786,0.4054,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2022\WOLDA_2022_03_a8743fde_14-WOLDA-Results-Cat-21.jpg,标准化输出/logo/WOLDA\2022\WOLDA_2022_03_a8743fde_14-WOLDA-Results-Cat-21.png,9a2a5ea23b8e,1240,874,1239,872,0.3616,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2022\WOLDA_2022_04_1b74a468_14-WOLDA-Results-Cat-210.jpg,标准化输出/logo/WOLDA\2022\WOLDA_2022_04_1b74a468_14-WOLDA-Results-Cat-210.png,d80970190add,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2022\WOLDA_2022_05_64ebecff_14-WOLDA-Results-Cat-211.jpg,标准化输出/logo/WOLDA\2022\WOLDA_2022_05_64ebecff_14-WOLDA-Results-Cat-211.png,84b59f826a9f,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2022\WOLDA_2022_06_8389337c_14-WOLDA-Results-Cat-212.jpg,标准化输出/logo/WOLDA\2022\WOLDA_2022_06_8389337c_14-WOLDA-Results-Cat-212.png,83049abc8405,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2022\WOLDA_2022_07_9e16aeae_14-WOLDA-Results-Cat-213.jpg,标准化输出/logo/WOLDA\2022\WOLDA_2022_07_9e16aeae_14-WOLDA-Results-Cat-213.png,be4f0cf1f521,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2022\WOLDA_2022_08_a6412802_14-WOLDA-Results-Cat-214.jpg,标准化输出/logo/WOLDA\2022\WOLDA_2022_08_a6412802_14-WOLDA-Results-Cat-214.png,772f0716081f,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2022\WOLDA_2022_09_13fe10ac_14-WOLDA-Results-Cat-215.jpg,标准化输出/logo/WOLDA\2022\WOLDA_2022_09_13fe10ac_14-WOLDA-Results-Cat-215.png,3662cc2f396b,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2022\WOLDA_2022_10_3286721f_14-WOLDA-Results-Cat-216.jpg,标准化输出/logo/WOLDA\2022\WOLDA_2022_10_3286721f_14-WOLDA-Results-Cat-216.png,864d2deff4f9,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2022\WOLDA_2022_11_b9cd4038_14-WOLDA-Results-Cat-217.jpg,标准化输出/logo/WOLDA\2022\WOLDA_2022_11_b9cd4038_14-WOLDA-Results-Cat-217.png,81dde895c873,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2022\WOLDA_2022_12_9177c2eb_14-WOLDA-Results-Cat-218.jpg,标准化输出/logo/WOLDA\2022\WOLDA_2022_12_9177c2eb_14-WOLDA-Results-Cat-218.png,4a5804aad25e,1240,874,1104,784,0.4058,512,448,True,False,255,logo
