award,year,file,url,bytes,page,fetched
GDC,2023,GDC_2023_01_46f64a8f_3b13ff61818b6ffdb7a4d1e47c57ae41.webp,https://www.gdcaward.com/media/tmp/webp/detail/3b13ff61818b6ffdb7a4d1e47c57ae41.webp,154820,https://www.gdcaward.com/op/before_works/detail?id=994&bo=8&lang=cn,2026-09-02T23:12:23
GDC,2023,GDC_2023_02_361042dd_44c5707284913aeb2668a8737ff4fb67.webp,https://www.gdcaward.com/media/tmp/webp/detail/44c5707284913aeb2668a8737ff4fb67.webp,153980,https://www.gdcaward.com/op/before_works/detail?id=994&bo=8&lang=cn,2026-09-02T23:12:36
GDC,2023,GDC_2023_01_257939e4_76691c2e6c9bab1760174aeec3c790c7.webp,https://www.gdcaward.com/media/tmp/webp/detail/76691c2e6c9bab1760174aeec3c790c7.webp,77582,https://www.gdcaward.com/op/before_works/detail?id=1001&bo=8&lang=cn,2026-09-02T23:13:15
GDC,2023,GDC_2023_02_7bbc7e9a_be3933fec8b2f5e3372343bc8e7b81c7.webp,https://www.gdcaward.com/media/tmp/webp/detail/be3933fec8b2f5e3372343bc8e7b81c7.webp,85632,https://www.gdcaward.com/op/before_works/detail?id=1001&bo=8&lang=cn,2026-09-02T23:13:20
GDC,2023,GDC_2023_01_cd792664_00fedb0f076b778bf3fb6677de8b4e37.webp,https://www.gdcaward.com/media/tmp/webp/detail/00fedb0f076b778bf3fb6677de8b4e37.webp,72244,https://www.gdcaward.com/op/before_works/detail?id=1007&bo=8&lang=cn,2026-09-02T23:13:51
GDC,2023,GDC_2023_02_16adb53a_06d24b3bd60dbc8397c8756fb064ba67.webp,https://www.gdcaward.com/media/tmp/webp/detail/06d24b3bd60dbc8397c8756fb064ba67.webp,83466,https://www.gdcaward.com/op/before_works/detail?id=1007&bo=8&lang=cn,2026-09-02T23:13:52
GDC,2021,GDC_2021_01_3394538a_0a54346aee41449f5ca4e9cc12785962.webp,https://www.gdcaward.com/media/tmp/webp/detail/0a54346aee41449f5ca4e9cc12785962.webp,82648,https://www.gdcaward.com/op/before_works/detail?id=425&bo=7&lang=cn,2026-09-02T23:14:14
GDC,2021,GDC_2021_02_911c365c_5c659fe4d88e187f39983e2ef7604cdc.webp,https://www.gdcaward.com/media/tmp/webp/detail/5c659fe4d88e187f39983e2ef7604cdc.webp,14526,https://www.gdcaward.com/op/before_works/detail?id=425&bo=7&lang=cn,2026-09-02T23:14:15
GDC,2021,GDC_2021_01_f6a6e852_1ca0485aef86434377c5cca51be3e5cd.webp,https://www.gdcaward.com/media/tmp/webp/detail/1ca0485aef86434377c5cca51be3e5cd.webp,15952,https://www.gdcaward.com/op/before_works/detail?id=443&bo=7&lang=cn,2026-09-02T23:14:59
GDC,2021,GDC_2021_02_b04f0394_72602c62b7362d1f0165ec0b5f535a90.webp,https://www.gdcaward.com/media/tmp/webp/detail/72602c62b7362d1f0165ec0b5f535a90.webp,10306,https://www.gdcaward.com/op/before_works/detail?id=443&bo=7&lang=cn,2026-09-02T23:15:00
GDC,2021,GDC_2021_01_fc8ff8e7_21c2d2ab5ca0300b2a036d34600ff4dc.webp,https://www.gdcaward.com/media/tmp/webp/detail/21c2d2ab5ca0300b2a036d34600ff4dc.webp,10248,https://www.gdcaward.com/op/before_works/detail?id=444&bo=7&lang=cn,2026-09-02T23:15:32
GDC,2021,GDC_2021_02_bf54861a_2265f823672eed20f23d7aa41b1394c4.webp,https://www.gdcaward.com/media/tmp/webp/detail/2265f823672eed20f23d7aa41b1394c4.webp,17464,https://www.gdcaward.com/op/before_works/detail?id=444&bo=7&lang=cn,2026-09-02T23:15:33
GDC,2021,GDC_2021_01_becc4c87_00ca017ceac32d228857a223cd453903.webp,https://www.gdcaward.com/media/tmp/webp/detail/00ca017ceac32d228857a223cd453903.webp,54804,https://www.gdcaward.com/op/before_works/detail?id=451&bo=7&lang=cn,2026-09-02T23:15:59
GDC,2021,GDC_2021_02_e21e6780_04acb5a79b07710f3066ad2f1b4c286c.webp,https://www.gdcaward.com/media/tmp/webp/detail/04acb5a79b07710f3066ad2f1b4c286c.webp,50000,https://www.gdcaward.com/op/before_works/detail?id=451&bo=7&lang=cn,2026-09-02T23:16:00
GDC,2021,GDC_2021_01_19abcb28_16b15f13e1fb33c8621077ed4dc4edc1.webp,https://www.gdcaward.com/media/tmp/webp/detail/16b15f13e1fb33c8621077ed4dc4edc1.webp,28816,https://www.gdcaward.com/op/before_works/detail?id=350&bo=7&lang=cn,2026-09-02T23:17:02
GDC,2021,GDC_2021_02_763d53c3_3a12b1ad16f528a234415cd8f915fc82.webp,https://www.gdcaward.com/media/tmp/webp/detail/3a12b1ad16f528a234415cd8f915fc82.webp,54388,https://www.gdcaward.com/op/before_works/detail?id=350&bo=7&lang=cn,2026-09-02T23:17:03
GDC,2021,GDC_2021_01_6a3e769f_0059f101780411b27b9f2fc513951883.webp,https://www.gdcaward.com/media/tmp/webp/detail/0059f101780411b27b9f2fc513951883.webp,54666,https://www.gdcaward.com/op/before_works/detail?id=359&bo=7&lang=cn,2026-09-02T23:17:11
GDC,2021,GDC_2021_02_572201f0_174b05563eaf6f0d9de7404baf68df1c.webp,https://www.gdcaward.com/media/tmp/webp/detail/174b05563eaf6f0d9de7404baf68df1c.webp,38170,https://www.gdcaward.com/op/before_works/detail?id=359&bo=7&lang=cn,2026-09-02T23:17:12
GDC,2021,GDC_2021_01_2b3109e8_bd96632db238b11c9fe0a76aee07614c.webp,https://www.gdcaward.com/media/tmp/webp/detail/bd96632db238b11c9fe0a76aee07614c.webp,40452,https://www.gdcaward.com/op/before_works/detail?id=366&bo=7&lang=cn,2026-09-02T23:17:36
