award,year,file,url,bytes,work_id,title,page,fetched
Golden Pin,2024,GoldenPin_2024_18_3fa57b7b_image_99b72f.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1955/image_99b72f.jpeg,1145639,1955,The Nature Valley – the brand identity & packaging,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:49:11
Golden Pin,2025,GoldenPin_2025_01_1e51027f_image_fb0783.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2547/image_fb0783.jpeg,3332456,2547,FUJIYA,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:49:18
Golden Pin,2025,GoldenPin_2025_02_28dfccb2_image_169ba0.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2888/image_169ba0.jpeg,2106799,2888,2025 YODEX : Preferred Future — Exhibition Identity Design,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:49:23
Golden Pin,2025,GoldenPin_2025_03_fa9fb4c1_image_b273f7.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2460/image_b273f7.jpeg,4030846,2460,Guide to filming in Hong Kong,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:49:29
Golden Pin,2025,GoldenPin_2025_04_67e2d7c1_image_252fe1.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2461/image_252fe1.jpeg,1488662,2461,Minna no Tsukemono,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:49:33
Golden Pin,2025,GoldenPin_2025_05_c129c4b2_image_436ed9.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2463/image_436ed9.jpeg,2517356,2463,oi! spotlight: The Golden Realm by Toyofuku,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:49:38
Golden Pin,2025,GoldenPin_2025_06_10b799ca_image_280775.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2467/image_280775.jpeg,569827,2467,Ateli – A Human-Centered Identity for Community-Focused Housing,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:49:42
Golden Pin,2025,GoldenPin_2025_07_36be7c7e_image_c21405.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2468/image_c21405.jpeg,1935345,2468,CLEAN CITY GDANSK,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:49:48
Golden Pin,2025,GoldenPin_2025_08_f7493458_image_276ea4.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2472/image_276ea4.jpeg,164727,2472,Hanlin Rebranding,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:49:51
Golden Pin,2025,GoldenPin_2025_09_97ea6c90_image_e77c52.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2473/image_e77c52.jpeg,125747,2473,Visual Identity for the Taichung Green Museumbrary (Taichung Public Library + Taichung Art Museum) ,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:49:53
Golden Pin,2025,GoldenPin_2025_10_01511b66_image_af1a63.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2474/image_af1a63.jpeg,2431559,2474,Bau-Jie Agarwood Brand Design,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:50:01
Golden Pin,2025,GoldenPin_2025_11_f8e9fdf5_image_8ed56f.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2476/image_8ed56f.jpeg,5342535,2476,ZenU Design Rebranding,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:50:07
Golden Pin,2025,GoldenPin_2025_12_04bf128d_image_f6fc0f.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2477/image_f6fc0f.jpeg,4724027,2477,Terzo Brand Design,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:50:15
