award,year,file,url,bytes,category,sub_category,title,creator,page,fetched
Indigo,2022,Indigo_2022_05_0d91d297_29a549a3049343460d318f7fb79683bf.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/8126/image/29a549a3049343460d318f7fb79683bf.jpg,220286,Branding,Services - Other,Brand Identity for Invoke Hospitality,Huck Yeah,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:29:59
Indigo,2022,Indigo_2022_06_8f592570_bf4160c5e08baf25a3cb40144d74d990.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/8523/image/bf4160c5e08baf25a3cb40144d74d990.jpg,1749153,Branding,Services - Other,Enjoy Happy Food Rebranding,Play Design Lab,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:30:05
Indigo,2022,Indigo_2022_07_cedd52e8_f88b307a2adfe551f29bb67f99c18c09.png,https://indigoawards.s3.amazonaws.com/cache/cover/8528/image/f88b307a2adfe551f29bb67f99c18c09.png,40783,Branding,Services - Other,GXO: Launching a global leader in logistics,Lippincott,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:30:07
Indigo,2022,Indigo_2022_08_be8fbe30_midsize-92c280cafc47896f16e6db91c6fad601.jpg,https://indigoawards.s3.amazonaws.com/store/cover/10370/image/midsize-92c280cafc47896f16e6db91c6fad601.jpg,1937164,Branding,Services - Other,Sydney Children’s Hospitals Foundation Rebrand,SunnySideUp,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:30:13
Indigo,2022,Indigo_2022_09_8336db61_midsize-cf2c80daa2790ed6b1fcc2c3d27d6436.png,https://indigoawards.s3.amazonaws.com/store/cover/9241/image/midsize-cf2c80daa2790ed6b1fcc2c3d27d6436.png,18555,Branding,Services - Other,The World's Paper Company,Thackway McCord,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:30:14
Indigo,2022,Indigo_2022_10_7a115231_midsize-4ec8c6a3e06545f210d1edf1ae1a861f.jpeg,https://indigoawards.s3.amazonaws.com/store/cover/9520/image/midsize-4ec8c6a3e06545f210d1edf1ae1a861f.jpeg,18154,Branding,Services - Other,Scott Shields Architects,Kilograph,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:30:16
Indigo,2022,Indigo_2022_11_fed4e936_midsize-05e8040f537d6cffc5a310c626f431af.png,https://indigoawards.s3.amazonaws.com/store/cover/10113/image/midsize-05e8040f537d6cffc5a310c626f431af.png,95256,Branding,Services - Other,Shalem Hospice Care Brand and Website,Undaunted Agency,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:30:18
Indigo,2022,Indigo_2022_12_f8b0349f_42ccf3681aadce8fbe65bf7edae3243a.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/8362/image/42ccf3681aadce8fbe65bf7edae3243a.jpg,1769100,Branding,Services - Other,AECOM's Brand Refresh,AECOM,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:30:22
Indigo,2022,Indigo_2022_13_f21d2a8c_c53ae6ef188648019fce7febc6577cd2.png,https://indigoawards.s3.amazonaws.com/cache/cover/8529/image/c53ae6ef188648019fce7febc6577cd2.png,38455,Branding,Services - Other,A new chapter for a 150-year-old enterprise ,Lippincott,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:30:24
Indigo,2022,Indigo_2022_14_953535bf_e483241ed4662a5d4267443b78e8b64f.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/8347/image/e483241ed4662a5d4267443b78e8b64f.jpg,754330,Branding,Services - Other,"Junk, Junk, Baby! Unbeatable Junk Removal",Stirling Brandworks,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:30:28
Indigo,2022,Indigo_2022_15_10acc81b_28f862d5ffa09fc061ea7f648087e07a.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/8099/image/28f862d5ffa09fc061ea7f648087e07a.jpg,3060307,Branding,Services - Other,SENTRUM,Fikri Mahsul,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:30:34
Indigo,2022,Indigo_2022_16_11424f1a_midsize-265c426b95bcc7a64605f2d18c95f5db.png,https://indigoawards.s3.amazonaws.com/store/cover/10383/image/midsize-265c426b95bcc7a64605f2d18c95f5db.png,25619,Branding,Services - Other,Hemuco,Cloud9 Oy,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:30:37
Indigo,2022,Indigo_2022_17_edde53db_midsize-8c0027807711452d7fb325ef0d025740.png,https://indigoawards.s3.amazonaws.com/store/cover/8813/image/midsize-8c0027807711452d7fb325ef0d025740.png,29864,Branding,Technology,InstaProtection,Creativeans,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:30:39
Indigo,2022,Indigo_2022_18_aa0d93a6_midsize-73b7d7452919d1c839c51ec74132f598.jpg,https://indigoawards.s3.amazonaws.com/store/cover/9391/image/midsize-73b7d7452919d1c839c51ec74132f598.jpg,9966,Branding,Technology,TaxGift Brand,Edition,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:30:40
Indigo,2023,Indigo_2023_01_6ada6522_midsize-4bced441ce4d1293ca1c53f169063371.png,https://indigoawards.s3.amazonaws.com/store/cover/10918/image/midsize-4bced441ce4d1293ca1c53f169063371.png,156856,Branding,Real Estate,Goodman Future Brand,Yonder,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:30:46
