src,out,src_sha1,orig_w,orig_h,content_w,content_h,scale,canvas,content_max,grayscale,binarize,bg,kind
图包/国际奖项/Indigo\2022\Indigo_2022_12_f8b0349f_42ccf3681aadce8fbe65bf7edae3243a.jpg,标准化输出/logo/Indigo\2022\Indigo_2022_12_f8b0349f_42ccf3681aadce8fbe65bf7edae3243a.png,7d2e2acb03a7,4000,2250,4000,2250,0.112,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_13_f21d2a8c_c53ae6ef188648019fce7febc6577cd2.png,标准化输出/logo/Indigo\2022\Indigo_2022_13_f21d2a8c_c53ae6ef188648019fce7febc6577cd2.png,4ddc35cd8b5f,2365,260,2291,190,0.1955,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_14_953535bf_e483241ed4662a5d4267443b78e8b64f.jpg,标准化输出/logo/Indigo\2022\Indigo_2022_14_953535bf_e483241ed4662a5d4267443b78e8b64f.png,c4b55a319338,1300,867,1300,867,0.3446,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_15_10acc81b_28f862d5ffa09fc061ea7f648087e07a.jpg,标准化输出/logo/Indigo\2022\Indigo_2022_15_10acc81b_28f862d5ffa09fc061ea7f648087e07a.png,9c7a39c8203a,1800,1800,1800,1800,0.2489,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_16_11424f1a_midsize-265c426b95bcc7a64605f2d18c95f5db.png,标准化输出/logo/Indigo\2022\Indigo_2022_16_11424f1a_midsize-265c426b95bcc7a64605f2d18c95f5db.png,15c864ac254c,600,450,412,103,1.0874,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_17_edde53db_midsize-8c0027807711452d7fb325ef0d025740.png,标准化输出/logo/Indigo\2022\Indigo_2022_17_edde53db_midsize-8c0027807711452d7fb325ef0d025740.png,7a930ff9a3f8,600,480,600,480,0.7467,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_18_aa0d93a6_midsize-73b7d7452919d1c839c51ec74132f598.jpg,标准化输出/logo/Indigo\2022\Indigo_2022_18_aa0d93a6_midsize-73b7d7452919d1c839c51ec74132f598.png,ed45d1ecf5d2,600,424,423,240,1.0591,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_01_6ada6522_midsize-4bced441ce4d1293ca1c53f169063371.png,标准化输出/logo/Indigo\2023\Indigo_2023_01_6ada6522_midsize-4bced441ce4d1293ca1c53f169063371.png,a450263186b5,600,450,477,395,0.9392,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_02_30fccc73_midsize-1a69d3d097f6094c75a63d8151e4d33e.jpg,标准化输出/logo/Indigo\2023\Indigo_2023_02_30fccc73_midsize-1a69d3d097f6094c75a63d8151e4d33e.png,f38e50d2e20f,600,338,583,253,0.7684,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_03_aebb7d68_midsize-6a8a35eb87380156d66c7b1659455481.png,标准化输出/logo/Indigo\2023\Indigo_2023_03_aebb7d68_midsize-6a8a35eb87380156d66c7b1659455481.png,7d9fa5826d1a,600,388,600,388,0.7467,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_04_66d68f3e_iZgUTQQEXCNZq68RZjLLPQEy.png,标准化输出/logo/Indigo\2023\Indigo_2023_04_66d68f3e_iZgUTQQEXCNZq68RZjLLPQEy.png,6c9908568cee,2880,1620,1437,454,0.3118,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_05_90613476_midsize-7051ca6ed0029758ee9b61e4fe0b919c.jpg,标准化输出/logo/Indigo\2023\Indigo_2023_05_90613476_midsize-7051ca6ed0029758ee9b61e4fe0b919c.png,1877d9164a06,600,543,600,543,0.7467,512,448,True,False,255,logo
